"mapruleid","shortname","network","allowedservergeo","excludedserverGeo"
"401","chf3","freeflow","","RU"
"403","chg1","freeflow","",""
"404","chg2","freeflow","",""
"405","chg3","freeflow","",""
"406","chg4","freeflow","",""
"414","tm","freeflow","",""
"415","tn","freeflow","",""
"425","tx","freeflow","",""
"426","ty","freeflow","",""
"428","llns","freeflow","",""
"430","llns","essl","",""
"436","zch1","freeflow","",""
"437","zch2","freeflow","",""
"438","zch3","freeflow","",""
"439","zch4","freeflow","",""
"440","zch5","freeflow","",""
"441","zch6","freeflow","",""
"442","zch7","freeflow","",""
"443","zch8","freeflow","",""
"444","zch9","freeflow","",""
"445","zch10","freeflow","",""
"446","zch11","freeflow","",""
"447","zch12","freeflow","",""
"448","zch13","freeflow","",""
"449","zch14","freeflow","",""
"450","zch15","freeflow","",""
"451","zch16","freeflow","",""
"452","zch17","freeflow","",""
"453","zch18","freeflow","",""
"454","zch19","freeflow","",""
"455","zch20","freeflow","",""
"456","zch21","freeflow","",""
"458","zch23","freeflow","",""
"459","zch24","freeflow","",""
"460","zch25","freeflow","",""
"461","zch26","freeflow","",""
"462","zch27","freeflow","",""
"463","zch28","freeflow","",""
"464","zch29","freeflow","",""
"465","zch30","freeflow","","RU"
"466","zch31","freeflow","",""
"467","zch32","freeflow","",""
"468","zch33","freeflow","",""
"469","zch34","freeflow","",""
"470","zch35","freeflow","",""
"471","zch36","freeflow","",""
"472","zch37","freeflow","",""
"473","zch38","freeflow","",""
"474","zch39","freeflow","",""
"475","zch40","freeflow","",""
"476","breeze476","ddc","",""
"477","breeze477","ddc","",""
"485","sripcnc","srip","",""
"486","sripsrt","srip","",""
"487","cn2","freeflow","",""
"489","ca2","essl","",""
"490","r","ingest","",""
"492","tz","essl","",""
"497","lyg1","mts","",""
"498","lyg2","mts","",""
"499","lyg3","mts","",""
"1001","chp","essl","",""
"1002","chf","essl","",""
"1020","ch20","essl","",""
"1021","ch21","essl","",""
"1022","ch22","essl","",""
"1023","ch23","essl","",""
"1024","ch24","essl","",""
"1025","ch25","essl","",""
"1026","ch26","essl","",""
"1027","chjp","essl","",""
"1030","ch30","essl","",""
"1031","ch31","essl","",""
"1032","ch32","essl","",""
"1033","ch33","essl","",""
"1034","ch34","essl","",""
"1035","ch35","essl","",""
"1036","ch36","essl","",""
"1037","ch37","essl","",""
"1038","ch38","essl","",""
"1039","ch39","essl","",""
"1041","ch41","essl","",""
"1042","ch42","essl","",""
"1043","ch43","essl","",""
"1044","ch44","essl","CONUS",""
"1045","ch45","essl","CONUS",""
"1047","ch47","essl","",""
"1048","ch48","essl","",""
"1050","ch50","essl","",""
"1051","ch51","essl","",""
"1052","ch52","essl","",""
"1053","ch53","essl","",""
"1054","ch54","essl","",""
"1060","ch60","essl","",""
"1070","ch70","essl","",""
"1071","ch71","essl","",""
"1072","ch72","essl","",""
"1073","ch73","essl","",""
"1074","ch74","essl","",""
"1075","ch75","essl","",""
"1200","ch200","essl","",""
"1251","dscf","essl","",""
"1252","dsch","essl","",""
"1253","dsci","essl","",""
"1254","dscj","essl","",""
"1257","dsco","essl","",""
"1259","dsct","essl","",""
"1261","dscv","essl","",""
"1262","dscw","essl","",""
"1264","dscz","essl","",""
"1265","dscc4","essl","",""
"1266","pdscde","essl","CONUS",""
"1276","f","essl","",""
"1277","h","essl","",""
"1278","i","essl","",""
"1279","j","essl","",""
"1282","o","essl","",""
"1283","t","essl","",""
"1285","v","essl","",""
"1286","w","essl","",""
"1288","z","essl","",""
"1301","f1","essl","",""
"1302","h1","essl","",""
"1303","i1","essl","",""
"1304","j1","essl","",""
"1307","o1","essl","",""
"1309","t1","essl","",""
"1311","v1","essl","",""
"1312","w1","essl","",""
"1314","z1","essl","",""
"1315","k1","essl","",""
"1316","k2","essl","",""
"1326","as","essl","",""
"1327","bs","essl","",""
"1328","cs","essl","RGLB",""
"1329","ds","essl","",""
"1330","fs","essl","",""
"1331","gs","essl","",""
"1332","hs","essl","",""
"1333","is","essl","",""
"1334","js","essl","",""
"1339","os","essl","",""
"1342","ts","essl","",""
"1344","vs","essl","",""
"1345","ws","essl","",""
"1346","xs","essl","",""
"1348","zs","essl","",""
"1376","i6f","essl","",""
"1377","i6h","essl","",""
"1378","i6i","essl","",""
"1379","i6j","essl","",""
"1382","i6o","essl","",""
"1383","i6t","essl","",""
"1385","i6v","essl","",""
"1386","i6w","essl","",""
"1388","i6z","essl","",""
"1401","i6as","essl","",""
"1402","i6bs","essl","",""
"1403","i6cs","essl","RGLB",""
"1404","i6ds","essl","",""
"1405","i6fs","essl","",""
"1406","i6gs","essl","",""
"1407","i6hs","essl","",""
"1408","i6is","essl","",""
"1409","i6js","essl","",""
"1414","i6os","essl","",""
"1418","i6ts","essl","",""
"1420","i6vs","essl","",""
"1421","i6ws","essl","",""
"1422","i6xs","essl","",""
"1425","i6e24","essl","",""
"1439","dsceo","essl","",""
"1464","eo","essl","",""
"1489","eos","essl","",""
"1539","i6eo","essl","",""
"1564","i6eos","essl","",""
"1576","kg1","essl","",""
"1626","aw","essl","",""
"1627","zw","essl","",""
"1628","e9w","essl","","RU"
